Area,Price,n,geometry
BANTRY BAY,14995000,103,"c(18.3761573044106, -33.9280821489168)"
BERGVLIET,3995000.0000000005,35,"c(18.461326416333, -34.0526174187242)"
BISHOPSCOURT,15900000,38,"c(18.4550347921353, -33.9931856522858)"
CAMPS BAY / BAKOVEN,13641333.333333334,348,"c(18.3821249859725, -33.9485000615262)"
CAPE FARMS - DISTRICT H,4808000,33,"c(18.4161327575761, -34.1069790032335)"
CAPE TOWN CITY CENTRE,3093500,1407,"c(18.4280258401957, -33.9156407953226)"
CAPRI,2600000,39,"c(18.3834702968967, -34.1404105881201)"
CLAREMONT,2639833.3333333335,401,"c(18.4653489341834, -33.9827248536817)"
CLIFTON,26499975,56,"c(18.3766978196755, -33.9449988423799)"
CLOVELLY,4495000,17,"c(18.4323501703021, -34.1275544551414)"
CONSTANTIA,11635277.777777778,208,"c(18.4374116638155, -34.0284273941019)"
DIEPRIVER,1725531.5,86,"c(18.4658120249698, -34.0297380399516)"
ELFINDALE,1924750,3,"c(18.4782766644706, -34.0395695082001)"
FISH HOEK,2800625,157,"c(18.426125525284, -34.1265696721416)"
FORESHORE,3250000,103,"c(18.4239318071742, -33.9122327417673)"
FRESNAYE,9950000,167,"c(18.3893411760987, -33.9234947315684)"
GARDENS,8747500,292,"c(18.4104144231114, -33.9365684399294)"
GLENCAIRN,3379166.666666667,45,"c(18.4350112172622, -34.15463252944)"
HAZENDAL,1894499.9999999998,6,"c(18.5063111389815, -33.954756865189)"
HEATHFIELD,1150000,49,"c(18.4640872718907, -34.0487145112543)"
HOUT BAY,6908750,322,"c(18.3371430403747, -34.0552148201306)"
KALK BAY,5300000,28,"c(18.4429788475988, -34.121936026971)"
KENILWORTH,2343750,277,"c(18.4634273328836, -33.9950564291419)"
KIRSTENHOF,2495000.0000000005,21,"c(18.4482502103211, -34.0745983085922)"
KOMMETJIE,4155000.0000000005,59,"c(18.3545810818028, -34.1413362589076)"
LAKESIDE,3575000.0000000005,28,"c(18.4592708023292, -34.0828345243397)"
LAVENDER HILL,499999.00000000006,11,"c(18.4896544977934, -34.07260752473)"
LLANDUDNO,27000000.000000004,42,"c(18.3365126746272, -34.0120722445934)"
MAITLAND GARDEN VILLAGE,799500,2,"c(18.4858405503353, -33.9320835156987)"
MEADOWRIDGE,4095000.0000000005,8,"c(18.4592515119589, -34.0409485833649)"
MISTY CLIFFS,11299999.999999998,6,"c(18.3632532808836, -34.1837057542163)"
MOWBRAY,1973750,105,"c(18.4872957806788, -33.9491949692482)"
MUIZENBERG,3514166.6666666665,237,"c(18.4698080447458, -34.1017423115336)"
NEWLANDS,6449999.999999999,148,"c(18.4568477304083, -33.9725297837836)"
NOORDHOEK,8847111.111111112,89,"c(18.3581462997924, -34.0965051888467)"
OBSERVATORY,1995000,333,"c(18.472417651585, -33.9432083093939)"
OCEAN VIEW,850000,17,"c(18.3482611461632, -34.1479905034241)"
ORANJEZICHT,2750000,140,"c(18.4090607220551, -33.9412417304292)"
PLUMSTEAD,2195000,150,"c(18.4637447749124, -34.0287467702752)"
RETREAT,1107333.3333333333,28,"c(18.4738309526475, -34.0590254433264)"
RONDEBOSCH,2750000,243,"c(18.4924887688254, -33.9570862909582)"
RONDEBOSCH EAST,3850000,26,"c(18.4939035758774, -33.9797212798017)"
ROSEBANK,1525000,87,"c(18.4693983008768, -33.9505565918879)"
SALT RIVER,1800000,79,"c(18.4628142757512, -33.9236178861822)"
SCARBOROUGH,5699000,21,"c(18.3806552132571, -34.2001620531866)"
SCHOTSCHEKLOOF,3324999.9999999995,60,"c(18.4165490567517, -33.9173318548983)"
SEA POINT,3995000.0000000005,726,"c(18.3956323279438, -33.9154717701418)"
SEAWINDS,707000,4,"c(18.4864532507675, -34.0779833104483)"
SIMON'S TOWN,3288750,112,"c(18.3917888356912, -34.1813215126849)"
SOUTHFIELD,2295000,25,"c(18.4778299927569, -34.0341544284941)"
ST JAMES,12499999.999999998,30,"c(18.45921587678, -34.1161247993978)"
STEENBERG,1622500,17,"c(18.4669576869533, -34.077087054413)"
SUNNYDALE,1736250,49,"c(18.3736493215105, -34.1264512677473)"
SUNVALLEY,2160000,7,"c(18.3974298112319, -34.1203034204944)"
SYBRAND PARK,2800000,3,"c(18.4974666477188, -33.9549407427691)"
TAMBOERSKLOOF,3195000.0000000005,91,"c(18.3985965854262, -33.9313146015179)"
TOKAI,10776999.799999999,132,"c(18.4124305608885, -34.0742498484271)"
VREDEHOEK,3535000.0000000005,205,"c(18.4260670808392, -33.9341409740281)"
WESTLAKE,6421666.666666667,58,"c(18.4477181610398, -34.0842021847767)"
WOODSTOCK,2615833.3333333335,445,"c(18.4444899304846, -33.9290893845561)"
WYNBERG,1585000,280,"c(18.4606674698213, -34.0132767869148)"
ZONNEBLOEM,7890000,231,"c(18.4267879041755, -33.9291243396452)"
